t^p_stop,PRS.stop
t^p_stop_work,PRS.stop_work
t^p_stretch,PRS.stretch
t^p_stride,PRS.stride
t^p_strike,PRS.strike
t^p_strike_match,PRS.strike_match
t^p_strike_the_ground,PRS.strike_the_ground
t^p_struggle,PRS.struggle
t^p_suck,PRS.suck
t^p_sulk,PRS.sulk
t^p_swallow,PRS.swallow
t^p_swat,PRS.swat
t^p_sweep,PRS.sweep
t^p_swim,PRS.swim
t^p_take,PRS.take
t^p_take_away,PRS.take_away
t^p_take_it_easy,PRS.take_it_easy
t^p_take_off,PRS.take_off
t^p_take_out,PRS.take_out
t^p_take_piece,PRS.take_piece
t^p_take_up,PRS.take_up
t^p_talk,PRS.talk
t^p_talk_secretly,PRS.talk_secretly
t^p_tantalize,PRS.tantalize
t^p_taste,PRS.taste
t^p_teach,PRS.teach
t^p_tear,PRS.tear
t^p_tear_to_pieces,PRS.tear_to_pieces
t^p_tell,PRS.tell
t^p_thatch,PRS.thatch
t^p_thrash,PRS.thrash
t^p_thresh,PRS.thresh
t^p_thresh/nt,PRS.thresh.CHOS
t^p_throw,PRS.throw
t^p_throw_away,PRS.throw_away
t^p_throw_on_ground,PRS.throw_on_ground
t^p_tie,PRS.tie
t^p_tire,PRS.tire
t^p_tire/c,PRS.tire.CAUS
t^p_touch,PRS.touch
t^p_transport,PRS.transport
t^p_trust,PRS.trust
t^p_try,PRS.try
t^p_turn,PRS.turn
t^p_turn_head,PRS.turn_head
t^p_turn_over,PRS.turn_over
t^p_uncover,PRS.uncover
t^p_undercook,PRS.undercook
t^p_understand,PRS.understand
t^p_undress,PRS.undress
t^p_untie,PRS.untie
t^p_urinate,PRS.urinate
t^p_visit,PRS.visit
t^p_vomit,PRS.vomit
t^p_waken,PRS.waken
t^p_waken/c,PRS.waken.CAUS
